Postal,Population
AL,5024279.00
AK,733391.00
AZ,7151502.00
AR,3011524.00
CA,39538223.00
CO,5773714.00
CT,3605944.00
DE,989948.00
FL,21538187.00
GA,10711908.00
HI,1455271.00
ID,1839106.00
IL,12812508.00
IN,6785528.00
IA,3190369.00
KS,2937880.00
KY,4505836.00
LA,4657757.00
ME,1362359.00
MD,6177224.00
MA,7029917.00
MI,10077331.00
MN,5706494.00
MS,2961279.00
MO,6154913.00
MT,1084225.00
NE,1961504.00
NV,3104614.00
NH,1377529.00
NJ,9288994.00
NM,2117522.00
NY,20201249.00
NC,10439388.00
ND,779094.00
OH,11799448.00
OK,3959353.00
OR,4237256.00
PA,13002700.00
RI,1097379.00
SC,5118425.00
SD,886667.00
TN,6910840.00
TX,29145505.00
UT,3271616.00
VT,643077.00
VA,8631393.00
WA,7705281.00
WV,1793716.00
WI,5893718.00
WY,576851.00
